,value__sum_values,value__median,value__mean,value__length,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum
2022484408,50818.0,78.5,84.69666666666667,600.0,24.436816259261125,597.1579888888889,88.15147947330965,155.0,155.0,53.0
2026352035,28877.0,63.0,65.77904328018224,439.0,5.530937465216948,30.591269244140484,66.01116423833341,80.0,80.0,57.0
2347167796,40270.0,67.0,67.11666666666666,600.0,4.448938699909851,19.793055555555554,67.2639576593587,89.0,89.0,59.0
4020332650,41919.0,70.0,69.865,600.0,2.3072584741781026,5.323441666666666,69.90308767620117,75.0,75.0,63.0
4558609924,48976.0,82.0,81.62666666666667,600.0,7.051521506423671,49.723955555555555,81.93068208349462,102.0,102.0,61.0
5553957443,41579.0,69.0,69.29833333333333,600.0,2.146158713194861,4.605997222222222,69.33155847087241,79.0,79.0,65.0
5577150313,31156.0,51.0,51.92666666666667,600.0,3.0410451419792435,9.247955555555556,52.01563867402444,72.0,72.0,46.0
6117666160,45351.0,76.0,75.585,600.0,4.939579098128369,24.399441666666668,75.74623202949878,98.0,98.0,59.0
6391747486,49608.0,82.0,82.68,600.0,7.577880090544232,57.42426666666666,83.0265419409159,121.0,121.0,64.0
6775888955,60791.0,111.0,101.31833333333333,600.0,20.70250380724247,428.5936638888889,103.4117901079627,132.0,132.0,62.0
6962181067,36460.0,60.0,60.766666666666666,600.0,2.579190226063642,6.652222222222222,60.821377820631454,75.0,75.0,56.0
7007744171,53113.0,90.0,88.52166666666666,600.0,9.499273510233412,90.23619722222222,89.02989198390992,113.0,113.0,70.0
8792009665,50995.0,82.0,84.99166666666666,600.0,10.662938801704195,113.6982638888889,85.65793405556,125.0,125.0,71.0
8877689391,43641.0,72.0,72.735,600.0,9.623657049167951,92.61477499999998,73.36889667972389,99.0,99.0,53.0
